id,pres_id,bin,aut_class,start_length,r1,r2,greedy1M_saved_nodes,greedy1M_saved_path,greedy1M_rerun_nodes,greedy1M_rerun_wall_s,greedy10k_solved,greedy10k_nodes,greedy10k_path,greedy10k_rerun_wall_s,s20mk2_10k_solved,s20mk2_10k_nodes,s20mk2_10k_path,s20mk2_10k_rerun_wall_s,oldcascade_saved_units,oldcascade_saved_path,oldcascade_units,oldcascade_pops,oldcascade_steps,oldcascade_substitution,oldcascade_automorphism,oldcascade_nielsen,oldcascade_perm,oldcascade_ac_moves,oldcascade_winner,oldcascade_peak_relator,oldcascade_wall_s,H_solved,H_stage,H_units,H_pops,H_dyn_pops,H_steps,H_substitution,H_nielsen,H_perm,H_dyn,H_ac_moves,H_stable,H_max_rank_search,H_cert_max_rank,H_peak_relator,H_wall_s,H_verified,H_decoder_multiply,H-nodefine_solved,H-nodefine_units,H-nodefine_steps,H-nodefine_ac_moves,H-nodefine_wall_s,H-noeliminate_solved,H-noeliminate_units,H-noeliminate_steps,H-noeliminate_ac_moves,H-noeliminate_wall_s,H-nonielsen_solved,H-nonielsen_units,H-nonielsen_steps,H-nonielsen_ac_moves,H-nonielsen_wall_s,H-noperm_solved,H-noperm_units,H-noperm_steps,H-noperm_ac_moves,H-noperm_wall_s,H-nogates_solved,H-nogates_units,H-nogates_steps,H-nogates_ac_moves,H-nogates_wall_s,F_solved,F_units,F_steps,F_ac_moves,F_wall_s,F-noperm_solved,F-noperm_units,F-noperm_steps,F-noperm_ac_moves,F-noperm_wall_s,F-nonielsen_solved,F-nonielsen_units,F-nonielsen_steps,F-nonielsen_ac_moves,F-nonielsen_wall_s,F-s20_solved,F-s20_units,F-s20_steps,F-s20_ac_moves,F-s20_wall_s,F-nogates_solved,F-nogates_units,F-nogates_steps,F-nogates_ac_moves,F-nogates_wall_s,F-nodescent_solved,F-nodescent_units,F-nodescent_steps,F-nodescent_ac_moves,F-nodescent_wall_s,F-nonielsen-noperm_solved,F-nonielsen-noperm_units,F-nonielsen-noperm_steps,F-nonielsen-noperm_ac_moves,F-nonielsen-noperm_wall_s,BF-memoryless_solved,BF-memoryless_units,BF-memoryless_steps,BF-memoryless_ac_moves,BF-memoryless_wall_s,BF-memoryless-nielsen_solved,BF-memoryless-nielsen_units,BF-memoryless-nielsen_steps,BF-memoryless-nielsen_ac_moves,BF-memoryless-nielsen_wall_s
ms155,155,1,31,13,YYYYxyXX,YYXyx,18,12,,,True,18,12,,True,16,12,,15,14,15,0,14,13,1,0,1,13,rewrite,11,0.0007491040000786597,True,C,25,0,,13,13,0,0,0,13,False,2,2,11,0.0005166949999875214,True,13,True,25,13,13,0.0004788389999248466,True,25,13,13,0.00040669100008017267,True,25,13,13,0.0005189210000935418,True,25,13,13,0.0005021790000228066,True,25,13,13,0.0005134629998337914,True,25,13,13,0.0005165799998394505,True,25,13,13,0.0004905590001271776,True,25,13,13,0.0005630289999771776,True,25,13,13,0.0004992070000753301,True,25,13,13,0.0007164369999372866,True,21,13,13,0.0004163169999173988,True,25,13,13,0.0005428590000065014,,,,,,,,,,
ms505,505,1,105,22,YYYYYYYXyyyyyyx,YYXyyxx,34,23,,,True,34,23,,True,138,41,,34,18,34,32,18,16,2,2,0,18,s40_gen,15,0.011458486000037738,True,C,30,0,,18,18,0,0,0,18,False,2,2,15,0.000811129999874538,True,18,True,30,18,18,0.000759874000095806,True,30,18,18,0.0006919689999449474,True,30,18,18,0.0007862029999614606,True,30,18,18,0.0008165579999968031,True,30,18,18,0.0008450059999631776,True,30,18,18,0.000750753999909648,True,30,18,18,0.0008155850000548526,True,30,18,18,0.0008404170000630984,True,30,18,18,0.0008583500000440836,True,30,18,18,0.0010095719999299035,True,26,18,18,0.001098102000014478,True,30,18,18,0.0008571089999804826,,,,,,,,,,
ms247,247,2,23,15,YYYXyyx,YYXyyXyx,46,9,,,True,46,9,,True,16,10,,15,8,15,11,8,7,1,1,0,8,s40_gen,8,0.0020501740000327118,True,H,31,1,0,12,9,2,1,0,11,False,2,2,8,0.001160072999937256,True,11,True,31,12,11,0.0009981880000395904,True,31,12,11,0.000907673000028808,True,31,12,11,0.0010986790000515612,True,31,11,11,0.001113440999915838,True,29,12,9,0.001343666999900961,True,31,12,10,0.001050536000093416,True,31,10,10,0.0008413499999733176,True,31,12,10,0.0011252700001023186,True,33,14,11,0.0031334829998286295,True,29,12,9,0.0019580059999952937,True,33,20,13,0.0036402060000000347,True,31,10,10,0.0008046989999002108,,,,,,,,,,
ms217,217,2,51,14,YYYXyyx,YYYxxyX,57,13,,,True,57,13,,True,36,11,,18,12,18,16,12,9,3,3,0,12,s40_gen,8,0.0029906679999385233,True,H,28,6,0,17,12,2,3,0,14,False,2,2,9,0.0030073979999087896,True,14,True,28,17,14,0.0027535930000794906,True,28,17,14,0.0026537740000094345,True,62,21,15,0.015596431999938432,True,27,13,13,0.015722750999884738,True,28,18,12,0.002294128000130513,True,30,19,14,0.0033217359998616303,True,30,13,13,0.0015977900000052614,True,62,20,14,0.01663622099999884,True,28,18,13,0.003773423999973602,True,28,18,12,0.004804500000091139,True,26,19,14,0.0035404950001520774,True,76,14,14,0.005664288999923883,,,,,,,,,,
ms201,201,2,19,14,YYYXyyx,YYXYxYx,61,15,,,True,61,15,,True,39,13,,21,12,21,18,12,9,3,3,0,12,s40_gen,8,0.003852146999861361,True,H,32,5,0,16,11,3,2,0,14,False,2,2,9,0.0026203759998679743,True,14,True,32,16,14,0.002131542000142872,True,32,16,14,0.0020824319999519503,True,63,20,15,0.013787849999971513,True,31,13,13,0.0022343559999171703,True,32,17,12,0.0021728020001319237,True,34,18,14,0.0029872210000121413,True,34,13,13,0.0014937040000404522,True,63,19,14,0.015009580999958416,True,31,17,13,0.00285446799989586,True,32,17,12,0.004419705000145768,True,31,19,14,0.0037147619998449954,True,71,14,14,0.004679898999938814,,,,,,,,,,
ms288,288,2,55,15,YYYYXXYx,YYYXyyx,106,17,,,True,106,17,,True,40,18,,43,13,43,41,13,10,3,3,0,13,s40_gen,9,0.009945452000010846,True,H,29,10,0,23,12,4,7,0,16,False,2,2,8,0.004390290999936042,True,16,True,29,23,16,0.00390918299990517,True,29,23,16,0.003864721999889298,True,88,28,19,0.026419003000000885,True,28,15,15,0.004083246999925905,True,27,22,14,0.0021709749998990446,True,29,23,15,0.003933559999950376,True,29,15,15,0.001590452999835179,True,88,27,18,0.055192129000033674,True,36,19,13,0.00907788199992865,True,27,22,14,0.00456515800010493,True,25,23,15,0.00458508199994867,True,114,18,18,0.03785685899993041,,,,,,,,,,
ms367,367,2,72,17,YYYYXyyyx,YYXYYxYx,83,21,,,True,83,21,,True,47,17,,38,15,38,35,15,11,4,4,0,15,s40_gen,11,0.011260882999977184,True,H,33,9,0,19,11,4,4,0,15,False,3,2,10,0.005314056000088385,True,15,True,33,19,15,0.0036963130000913225,True,33,19,15,0.0045572219999030494,True,68,30,21,0.06201796100003776,True,32,14,14,0.005055198000036398,True,31,19,13,0.0035007989999940037,True,33,19,14,0.0044500999999854685,True,33,14,14,0.0016936350000378297,True,66,29,20,0.018355833999976312,True,41,24,18,0.00887835699995776,True,31,19,13,0.0050572320001265325,True,30,20,14,0.0054306419999647915,True,89,19,19,0.006854628999917622,,,,,,,,,,
ms331,331,2,65,16,YYYYXyyyx,YYXYxYx,93,24,,,True,93,24,,True,43,16,,26,11,26,23,11,8,3,3,0,11,s40_gen,10,0.005860213000005388,True,H,29,5,0,15,10,3,2,0,13,False,2,2,9,0.0024316869998983748,True,13,True,29,15,13,0.0022091369999088784,True,29,15,13,0.002162947999977405,True,48,15,12,0.00899837000019943,True,28,12,12,0.00224760699984472,True,27,14,11,0.0016153169999597594,True,29,15,12,0.002459892999922886,True,29,12,12,0.001140843000030145,True,49,16,12,0.010105464000162101,True,30,18,12,0.0046120100000734965,True,27,14,11,0.002988051000102132,True,26,16,12,0.003121086999954059,True,50,13,13,0.002789654000025621,,,,,,,,,,
ms203,203,3,10,14,YYYXyyx,YYxYXYx,116,16,,,True,116,16,,True,39,17,,45,12,45,41,12,9,3,3,0,12,s40_gen,9,0.0095140429998537,True,H,35,6,0,20,11,4,5,0,15,False,2,2,8,0.0026724100000592443,True,15,True,35,20,15,0.0019185859998742671,True,35,20,15,0.002001963999873624,True,54,19,14,0.007959302999779538,True,34,14,14,0.002100289000054545,True,33,19,13,0.00166483199996037,True,35,20,14,0.002479321999999229,True,35,14,14,0.0012593400001605914,True,54,18,13,0.009069511000006969,True,35,16,12,0.004125746999989133,True,33,19,13,0.0031492370001160452,True,33,21,14,0.004040784999915559,True,72,13,13,0.004055529999959617,,,,,,,,,,
ms265,265,3,49,15,YYYXyyx,YYYxYxYX,121,21,,,True,121,21,,True,52,22,,46,15,46,43,15,11,4,4,0,15,s40_gen,9,0.010964236000063465,True,H,35,11,0,26,13,5,8,0,18,False,2,2,8,0.005242612000074587,True,18,True,35,26,18,0.0045067409998864605,True,35,26,18,0.004536877999953504,True,93,31,21,0.027071059000036257,True,37,17,17,0.006683832000135226,True,33,25,16,0.0025262730000576994,True,35,26,17,0.005011305000152788,True,38,17,17,0.002123487000062596,True,93,30,20,0.028859517999990203,True,42,21,15,0.010011327000029269,True,33,25,16,0.006071648999977697,True,32,27,17,0.005583922999903734,True,120,20,20,0.009804601999803708,,,,,,,,,,
ms579,579,3,100,21,YYYYYYXyyyyyx,YYYXYYxx,366,26,,,True,366,26,,True,78,25,,22,16,22,20,16,12,4,4,0,16,s40_gen,13,0.00587812800017673,True,H,27,7,0,16,11,4,1,0,15,False,3,2,13,0.008592421999992439,True,15,True,27,16,15,0.003850198999998611,True,27,16,15,0.007350871999960873,True,241,41,29,0.5168756860000485,True,27,15,15,0.007153337000090687,True,27,19,15,0.006368924000071274,True,29,18,16,0.004757398000037938,True,29,16,16,0.001792554000076052,True,169,40,28,0.10422994400005337,True,38,21,17,0.01172678500006441,True,27,19,15,0.0062715430001389905,True,25,18,16,0.005470878000096491,True,188,27,27,0.02666805600006228,,,,,,,,,,
ms327,327,3,66,15,YYYYXyyyx,YYxYXX,273,29,,,True,273,29,,True,108,28,,31,18,31,29,18,13,5,5,0,18,s40_gen,9,0.007012105000058,True,H,34,8,0,23,15,4,4,0,19,False,2,2,13,0.003622062999966147,True,19,True,34,23,19,0.0031989770000109274,True,34,23,19,0.0031813209998290404,True,322,42,31,0.13682132500002808,True,35,20,20,0.00336823399993591,True,36,26,19,0.003620385999965947,True,36,25,20,0.004567824000105247,True,38,22,22,0.001952636999931201,True,321,41,30,0.15919746400004442,True,52,27,22,0.014522234000196477,True,36,26,19,0.008813902999918355,True,32,25,20,0.005316377999861288,True,322,30,30,0.04160201199988478,,,,,,,,,,
ms333,333,3,54,16,YYYYXyyyx,YYxyXYx,313,35,,,True,313,35,,True,179,29,,19,18,19,0,18,16,2,2,0,18,rewrite,11,0.0006932149999556714,True,C,38,0,,18,16,2,0,0,18,False,2,2,9,0.0008962509998582391,True,18,True,38,18,18,0.0007893669999248232,True,38,18,18,0.0008158750001712178,True,38,18,18,0.0009110689998124144,True,38,18,18,0.0008620749999863619,True,38,18,18,0.0009378789998208958,True,38,18,18,0.0008392460001687141,True,38,18,18,0.0008270969999557565,True,38,18,18,0.0009742439999627095,True,38,18,18,0.0009164349999082333,True,38,18,18,0.0008645379998597491,True,38,21,18,0.002937681999810593,True,38,18,18,0.000986872000112271,,,,,,,,,,
ms380,380,3,77,17,YYYYXyyyx,YYYYxxyX,381,39,,,True,381,39,,True,190,34,,36,21,36,34,21,15,6,6,0,21,s40_gen,11,0.009491394999940894,True,H,40,10,0,27,20,3,4,0,23,False,2,2,13,0.004804231999969488,True,23,True,40,27,23,0.004093289999900662,True,40,27,23,0.004122504999941157,True,307,46,35,0.11028817600004004,True,39,22,22,0.00445938699999715,True,39,29,21,0.0046561890001157735,True,40,27,22,0.005521062000070742,True,45,22,22,0.002694207000104143,True,307,45,34,0.170818767000128,True,46,25,21,0.012215649999916423,True,39,29,21,0.009829197000044587,True,36,27,22,0.0061477439999180206,True,434,42,42,0.07999893100009103,,,,,,,,,,
ms546,546,4,85,19,YYYYYXyyyyx,YYXYYxYx,398,24,,,True,398,24,,True,94,23,,129,17,129,126,17,13,4,4,0,17,s40_gen,13,0.06578417500008982,True,H,33,8,0,22,12,5,5,0,17,False,3,2,12,0.00646401800008789,True,17,True,33,22,17,0.0035581529998580663,True,33,22,17,0.005983489999835001,True,284,36,24,0.6797604189998765,True,33,17,17,0.007817308999847228,True,33,25,17,0.005378655999948023,True,35,24,18,0.005000461000008727,True,35,18,18,0.001855037999803244,True,200,35,23,0.11376440200001525,True,44,23,17,0.012135488000012629,True,33,25,17,0.0063244879997910175,True,32,25,18,0.006313524999995934,True,331,23,23,0.04811608599993633,,,,,,,,,,
ms548,548,4,82,19,YYYYYXyyyyx,YYxYYxyX,661,28,,,True,661,28,,True,286,26,,83,27,83,79,27,20,7,7,0,27,s40_gen,11,0.026715530000046783,True,H,39,9,0,19,11,4,4,0,15,False,2,2,11,0.004153412000050594,True,15,True,39,19,15,0.003875367000091501,True,39,19,15,0.0039045480000368116,True,83,25,19,0.016298403000064354,True,40,16,16,0.004083749000074022,True,41,20,15,0.0031492299999626994,True,43,21,17,0.004584178999948563,True,43,17,17,0.002049468999985038,True,83,24,18,0.020470011000043087,True,40,19,16,0.005837512999960381,True,41,20,15,0.0068064929998854495,True,41,21,17,0.006477504000031331,True,85,18,18,0.005366193000099884,,,,,,,,,,
ms533,533,4,69,17,YYYYXyyyx,YYYXYxYx,438,43,,,True,438,43,,True,190,36,,37,21,37,34,21,15,6,6,0,21,s40_gen,11,0.010009716000013213,True,H,44,9,0,26,19,4,3,0,23,False,2,2,13,0.003954298999815364,True,23,True,44,26,23,0.0039002339999569813,True,44,26,23,0.003492103000098723,True,312,45,35,0.14273266800000783,True,43,22,22,0.0037002260000917886,True,43,28,21,0.004099486000086472,True,44,26,22,0.005225060999919151,True,49,22,22,0.002583299999969313,True,312,44,34,0.17378355899995768,True,51,25,21,0.011204570000018066,True,43,28,21,0.009402565000073082,True,41,27,22,0.006393086000116455,True,437,42,42,0.07050408999998581,,,,,,,,,,
ms589,589,4,94,21,YYYYYYXyyyyyx,YYYXYXYx,558,46,,,True,558,46,,True,379,28,,47,21,47,44,21,15,6,6,0,21,s40_gen,13,0.014242848999856506,True,H,36,8,0,19,14,4,1,0,18,False,3,2,13,0.005660258999796497,True,18,True,36,19,18,0.004129460000058316,True,36,19,18,0.0048732510001627816,True,221,39,,0.08037306100004571,True,35,17,17,0.005506754999942132,True,34,20,16,0.0041360419998,True,36,19,17,0.00449618300012844,True,36,17,17,0.0017433309999432822,True,233,34,25,0.12061533599990071,True,37,19,17,0.007174027000019123,True,34,20,16,0.006592142000044987,True,33,20,17,0.005623544000172842,True,246,25,25,0.02646624699991662,,,,,,,,,,
ms580,580,4,101,21,YYYYYYXyyyyyx,YYYxxYYX,875,47,,,True,875,47,,True,177,38,,30,24,30,28,24,18,6,6,0,24,s40_gen,13,0.009214038999971308,True,H,46,18,0,31,20,6,5,0,26,False,3,2,15,0.019489169999815203,True,26,True,46,31,26,0.007491615999924761,True,46,31,26,0.017792822000046726,False,1000,,,2.6622080459999324,True,46,28,28,0.02059699799997361,True,46,33,24,0.019583040000043184,True,47,32,25,0.01510427600010189,True,47,28,28,0.004536616999985199,False,1000,,,1.142211879000115,True,41,31,25,0.015652928000008615,True,46,33,24,0.018895361999966553,True,43,32,25,0.0170366140000624,False,1000,,,0.31528438400005143,,,,,,,,,,
ms609,609,4,104,23,YYYYYYYXyyyyyyx,YYYxYxyX,1217,56,,,True,1217,56,,True,243,42,,79,27,79,76,27,20,7,7,0,27,s40_gen,15,0.05820029599999543,True,H,43,10,0,26,19,4,3,0,23,False,3,2,15,0.0066931220001151814,True,23,True,43,26,23,0.00472487800016097,True,43,26,23,0.006019880999929228,True,569,57,43,0.22463044999994963,True,44,24,24,0.0065005830001609866,True,50,33,25,0.007255124000039359,True,47,28,24,0.006736901000067519,True,52,26,26,0.0028830839999045565,True,491,56,42,0.3008888189999652,True,57,33,27,0.015219526999999289,True,50,33,25,0.012622253000017736,True,44,29,24,0.008602495000104682,True,505,42,42,0.05365141500010395,,,,,,,,,,
ms538,538,5,81,18,YYYYYXyyyyx,YYxYxYX,2261,25,,,True,2261,25,,True,338,22,,114,25,114,111,25,19,6,6,0,25,s40_gen,12,0.03821918799985724,True,H,41,16,0,22,13,5,4,0,18,False,3,2,11,0.006762984000033612,True,18,True,41,22,18,0.005176338999945074,True,41,22,18,0.005971399000145539,True,418,40,,0.19602644899987354,True,42,19,19,0.0064186089998656826,True,43,23,18,0.004991306999954759,True,45,24,20,0.007605327000192119,True,45,20,20,0.002692581000019345,True,663,38,27,0.38767916500000865,True,35,24,17,0.0067522420001751016,True,43,23,18,0.009049578999793084,True,42,25,20,0.008951205999892409,True,677,27,27,0.09444260600002963,,,,,,,,,,
ms606,606,5,107,23,YYYYYYYXyyyyyyx,YYYxxYYX,2023,39,,,True,2023,39,,True,438,48,,30,20,30,28,20,14,6,6,0,20,s40_gen,15,0.009890222999956677,True,H,35,13,1,26,17,5,4,0,22,False,4,2,15,0.01968246799992812,True,22,True,34,26,22,0.0063058250000267435,True,35,26,22,0.01704214000005777,False,1000,,,2.943664880999904,True,35,22,22,0.01933165600007669,True,35,28,20,0.015845776000105616,True,35,27,21,0.007609089999959906,True,35,21,21,0.00241328600009183,False,1000,,,1.2077514539998901,True,41,28,21,0.017199297000161096,True,34,28,20,0.00969667300000765,True,31,27,21,0.008743519000063316,False,1000,,,0.26091546100019514,,,,,,,,,,
ms544,544,5,74,19,YYYYYXyyyyx,YYYxyXYx,1569,75,,,True,1569,75,,True,551,73,,36,35,36,0,35,32,3,3,0,35,rewrite,19,0.0017402969999693596,True,C,59,0,,35,32,3,0,0,35,False,2,2,17,0.0015927849999570753,True,35,True,59,35,35,0.0015563120000479103,True,59,35,35,0.0015022540001154994,True,59,35,35,0.0017353549999370443,True,59,35,35,0.0015960119999363087,True,59,35,35,0.0016639190000660165,True,59,35,35,0.0015139999998154963,True,59,35,35,0.001631630000019868,True,59,35,35,0.0016196500000660308,True,59,35,35,0.0016599929999756569,True,59,35,35,0.0026596929999413987,True,71,40,37,0.010094485000081477,True,59,35,35,0.0014713299999584706,,,,,,,,,,
