id,pres_id,bin,aut_class,start_length,r1,r2,greedy1M_saved_nodes,greedy1M_saved_path,greedy1M_rerun_nodes,greedy1M_rerun_wall_s,greedy10k_solved,greedy10k_nodes,greedy10k_path,greedy10k_rerun_wall_s,s20mk2_10k_solved,s20mk2_10k_nodes,s20mk2_10k_path,s20mk2_10k_rerun_wall_s,oldcascade_saved_units,oldcascade_saved_path,oldcascade_units,oldcascade_pops,oldcascade_steps,oldcascade_substitution,oldcascade_automorphism,oldcascade_nielsen,oldcascade_perm,oldcascade_ac_moves,oldcascade_winner,oldcascade_peak_relator,oldcascade_wall_s,H_solved,H_stage,H_units,H_pops,H_dyn_pops,H_steps,H_substitution,H_nielsen,H_perm,H_dyn,H_ac_moves,H_stable,H_max_rank_search,H_cert_max_rank,H_peak_relator,H_wall_s,H_verified,H_decoder_multiply,H-nodefine_solved,H-nodefine_units,H-nodefine_steps,H-nodefine_ac_moves,H-nodefine_wall_s,H-noeliminate_solved,H-noeliminate_units,H-noeliminate_steps,H-noeliminate_ac_moves,H-noeliminate_wall_s,H-nonielsen_solved,H-nonielsen_units,H-nonielsen_steps,H-nonielsen_ac_moves,H-nonielsen_wall_s,H-noperm_solved,H-noperm_units,H-noperm_steps,H-noperm_ac_moves,H-noperm_wall_s,H-nogates_solved,H-nogates_units,H-nogates_steps,H-nogates_ac_moves,H-nogates_wall_s,F_solved,F_units,F_steps,F_ac_moves,F_wall_s,F-noperm_solved,F-noperm_units,F-noperm_steps,F-noperm_ac_moves,F-noperm_wall_s,F-nonielsen_solved,F-nonielsen_units,F-nonielsen_steps,F-nonielsen_ac_moves,F-nonielsen_wall_s,F-s20_solved,F-s20_units,F-s20_steps,F-s20_ac_moves,F-s20_wall_s,F-nogates_solved,F-nogates_units,F-nogates_steps,F-nogates_ac_moves,F-nogates_wall_s,F-nodescent_solved,F-nodescent_units,F-nodescent_steps,F-nodescent_ac_moves,F-nodescent_wall_s,F-nonielsen-noperm_solved,F-nonielsen-noperm_units,F-nonielsen-noperm_steps,F-nonielsen-noperm_ac_moves,F-nonielsen-noperm_wall_s,BF-memoryless_solved,BF-memoryless_units,BF-memoryless_steps,BF-memoryless_ac_moves,BF-memoryless_wall_s,BF-memoryless-nielsen_solved,BF-memoryless-nielsen_units,BF-memoryless-nielsen_steps,BF-memoryless-nielsen_ac_moves,BF-memoryless-nielsen_wall_s
ms549,549,5,84,19,YYYYYXyyyyx,YYYxYxYX,1411,79,,,True,1411,79,,True,391,68,,119,40,119,116,40,29,11,11,0,40,s40_gen,13,0.03999361399996815,True,H,61,14,0,40,31,6,3,0,37,False,3,2,17,0.0075577009999960865,True,37,True,61,40,37,0.00591598599999088,True,61,40,37,0.006413857000097778,True,937,83,,1.505187382000031,True,62,38,38,0.006811739000113448,True,100,51,39,0.01692430200000672,True,63,42,38,0.009803865000094447,True,65,40,40,0.003699003999827255,False,1000,,,0.782406501999958,True,71,44,40,0.016553488999988986,True,100,51,39,0.041782330999922124,True,60,43,38,0.010809960999949908,False,1000,,,0.1781656309999562,,,,,,,,,,
ms543,543,5,88,19,YYYYYXyyyyx,YYYYXYxx,1813,81,,,True,1813,81,,True,551,77,,104,38,104,102,38,28,10,10,0,38,s40_gen,13,0.03706422899995232,True,H,65,19,0,42,35,4,3,0,39,False,3,2,19,0.036856164000028,True,39,True,65,42,39,0.007874113000070793,True,65,42,39,0.0343105290000949,False,1000,,,2.033938046000003,True,71,38,38,0.037555378999968525,True,102,48,37,0.018214557999954195,True,67,42,38,0.013138826999920639,True,78,38,38,0.0068861009999636735,False,1000,,,0.8535015519998979,True,62,43,39,0.014823212000010244,True,102,48,37,0.042073694999999134,True,63,42,38,0.014233750999892436,False,1000,,,0.1832748649999303,,,,,,,,,,
ms565,565,5,87,20,YYYYYYXyyyyyx,YYxyXYx,1404,145,,,True,1404,145,,True,2390,178,,67,66,67,0,66,64,2,2,0,66,rewrite,35,0.004517338999903586,True,C,86,0,,66,64,2,0,0,66,False,2,2,33,0.003018696000026466,True,66,True,86,66,66,0.0028923679999479646,True,86,66,66,0.002832580000131202,True,86,66,66,0.0030927640000300016,True,86,66,66,0.002879832999951759,True,86,66,66,0.0030029819999981555,True,86,66,66,0.003401799000130268,True,86,66,66,0.0031651429999328684,True,86,66,66,0.0032954860000700137,True,86,66,66,0.0030015439999715454,True,86,66,66,0.002941051000107109,True,86,69,66,0.005420129999947676,True,86,66,66,0.004238259999965521,,,,,,,,,,
ms602,602,6,103,22,YYYYYYYXyyyyyyx,YYYxYXX,6285,56,,,True,6285,56,,True,452,46,,41,25,41,39,25,18,7,7,0,25,s40_gen,15,0.013136679999888656,True,H,43,15,0,33,22,5,6,0,27,False,3,2,15,0.010328386999844952,True,27,True,43,33,27,0.006134610999879442,True,43,33,27,0.009156840000059674,True,685,65,,0.3314957630000208,True,52,28,28,0.01126225500001965,True,49,40,29,0.010023646000036024,True,46,35,28,0.009550604999958523,True,59,30,30,0.004353092999963337,False,1000,,,0.9977145320001455,True,50,30,26,0.014948447000051601,True,49,40,29,0.015208001000019067,True,42,35,28,0.010558966999951735,False,1000,,,0.2448077540000213,,,,,,,,,,
ms632,632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,6425,56,,,True,6425,56,,True,456,49,,83,34,83,81,34,26,8,8,0,34,s40_gen,17,0.03566934999980731,True,H,47,15,0,34,25,4,5,0,29,False,3,2,17,0.011142827999947258,True,29,True,47,34,29,0.006698421999999482,True,47,34,29,0.009854721000010613,True,955,65,,1.209530038999901,True,46,28,28,0.010797613000022466,True,49,39,27,0.010696608999978707,True,48,35,28,0.00933621000012863,True,47,28,28,0.0033338840000851633,False,1000,,,1.145213960000092,True,51,38,30,0.01613923100012471,True,49,39,27,0.016331148000062967,True,44,35,28,0.010629676999997173,False,1000,,,0.22211361200015745,,,,,,,,,,
ms573,573,6,98,21,YYYYYYXyyyyyx,YYYYXYxx,13393,63,,,False,10000,,,True,1729,54,,144,38,144,142,38,22,16,16,0,38,s40_gen,13,0.056631809000009525,True,H,59,39,0,34,15,9,10,0,24,False,3,2,13,0.018263397000055193,True,24,True,59,34,24,0.012936661000139793,True,59,34,24,0.016066840999883425,False,1000,,,2.036625031999847,True,60,25,25,0.01718471699996371,True,60,35,23,0.013141262999852188,True,62,36,24,0.021284385999933875,True,65,27,27,0.0408461399999851,False,1000,,,1.1152530800000022,True,44,37,25,0.01617542600001798,True,60,35,23,0.024730698999974265,True,58,36,24,0.025029846000052203,False,1000,,,0.23100700400004825,,,,,,,,,,
ms586,586,6,99,21,YYYYYYXyyyyyx,YYYYxYXX,9162,153,,,True,9162,153,,True,1572,166,,382,71,382,380,71,53,18,18,0,71,s40_gen,17,0.2158786479999435,True,H,100,26,0,72,63,6,3,0,69,False,3,2,32,0.0177327400001559,True,69,True,100,72,69,0.03681458799997017,True,100,72,69,0.015809807999858094,False,1000,,,1.884060404000138,True,101,70,70,0.016914181999936773,True,830,101,79,0.2743775049998476,True,102,74,70,0.019340962000114814,True,104,72,72,0.009923585000024104,False,1000,,,1.1327669879999576,True,103,76,72,0.0259915709998495,True,830,101,79,0.5319910690000142,True,98,74,70,0.021728816999939227,False,1000,,,0.2526223160000427,,,,,,,,,,
ms581,581,6,99,21,YYYYYYXyyyyyx,YYYYxxYX,9567,153,,,True,9567,153,,True,1584,162,,404,71,404,402,71,49,22,22,0,71,s40_gen,17,0.1824680779998289,True,H,100,26,0,72,63,6,3,0,69,False,3,2,32,0.017923965000136377,True,69,True,100,72,69,0.011686293999900954,True,100,72,69,0.01572409499999594,False,1000,,,1.943190000999948,True,101,70,70,0.016166696000027514,True,830,101,79,0.2427116889998615,True,102,74,70,0.018910063000021182,True,104,72,72,0.009223510000083479,False,1000,,,1.039347024000108,True,103,76,72,0.0260667380000541,True,830,101,79,0.4739738519999719,True,98,74,70,0.022080833000018174,False,1000,,,0.26059788599991407,,,,,,,,,,
ms575,575,6,87,21,YYYYYYXyyyyyx,YYYxyXYx,14383,156,,,False,10000,,,True,3195,181,,68,67,68,0,67,64,3,3,0,67,rewrite,35,0.004606465000051685,True,C,91,0,,67,64,3,0,0,67,False,2,2,33,0.003185997000173302,True,67,True,91,67,67,0.0026773350000439677,True,91,67,67,0.002861925999923187,True,91,67,67,0.003061365000121441,True,91,67,67,0.0030139430000417633,True,91,67,67,0.003139366999903359,True,91,67,67,0.002764021999837496,True,91,67,67,0.003960060000054,True,91,67,67,0.0030479300000934018,True,91,67,67,0.0031687140001395164,True,91,67,67,0.0029417130001547775,True,109,72,69,0.018100830999856043,True,91,67,67,0.002635721000160629,,,,,,,,,,
ms568,568,7,93,20,YYYYYYXyyyyyx,YYXYXyx,15814,48,,,False,10000,,,True,1724,45,,225,35,225,222,35,25,10,10,0,35,s40_gen,13,0.13691455099979066,True,H,50,25,0,31,15,6,10,0,21,False,3,2,13,0.010891697999795724,True,21,True,50,31,21,0.007832315999849015,True,50,31,21,0.009697869000092396,True,592,55,,0.27258642299989333,True,52,21,21,0.0104034529999808,True,51,32,20,0.007017288000042754,True,53,33,21,0.011843353000131174,True,55,21,21,0.005511432000048444,False,1000,,,0.7801794119998249,True,48,32,23,0.014879396999958772,True,51,32,20,0.012171431000069788,True,50,33,21,0.01441893599985633,False,1000,,,0.18544361900012518,,,,,,,,,,
ms578,578,7,93,21,YYYYYYXyyyyyx,YYXYYXyx,15873,50,,,False,10000,,,True,1734,48,,226,34,226,222,34,25,9,9,0,34,s40_gen,13,0.09645847899992077,True,H,55,25,0,32,15,7,10,0,22,False,3,2,13,0.01084633000004942,True,22,True,55,32,22,0.007740477000197643,True,55,32,22,0.009460270000090532,True,597,56,,0.26137905499990666,True,57,22,22,0.010710785000128453,True,56,33,21,0.007178440999950908,True,58,34,22,0.01202872999988358,True,60,22,22,0.006038117999878523,False,1000,,,0.7480842090001261,True,53,33,24,0.015220989999988888,True,56,33,21,0.012285594000104538,True,56,35,22,0.015474819000019124,False,1000,,,0.14259021700013363,,,,,,,,,,
ms583,583,7,93,21,YYYYYYXyyyyyx,YYXyxYYx,16111,52,,,False,10000,,,True,1721,48,,228,33,228,224,33,24,9,9,0,33,s40_gen,13,0.12437730700003158,True,H,55,25,0,32,15,7,10,0,22,False,3,2,13,0.010817608000024848,True,22,True,55,32,22,0.007762733999925331,True,55,32,22,0.009624500999962038,True,597,56,,0.26090840999995635,True,57,22,22,0.010938716999817188,True,56,33,21,0.007281520000105957,True,58,34,22,0.012015574000088236,True,60,22,22,0.005926743999907558,False,1000,,,0.7588425659998848,True,53,33,24,0.014607076000174857,True,56,33,21,0.012752192000107243,True,56,35,22,0.015668562999962887,False,1000,,,0.17685734100018635,,,,,,,,,,
ms628,628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,26774,81,,,False,10000,,,True,7092,117,,151,34,151,148,34,27,7,7,0,34,s40_gen,17,0.12884524600008262,True,H,51,1,0,36,34,1,1,0,35,False,2,2,22,0.00418572800003858,True,35,True,51,36,35,0.0030762720000439003,True,51,36,35,0.0032006179999370943,True,51,36,35,0.0032562819999384374,True,51,35,35,0.003820049999831099,True,642,41,33,1.7027984559999823,True,87,39,35,0.031248776999973416,True,96,35,35,0.014579197999864846,True,83,39,35,0.02996912899993731,True,498,82,75,0.6373166750001928,True,428,41,33,0.37890519899997344,True,84,40,35,0.036998691000007966,True,92,35,35,0.007132818000172847,,,,,,,,,,
ms633,633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,26838,83,,,False,10000,,,True,7081,111,,151,34,151,148,34,27,7,7,0,34,s40_gen,17,0.07874770499984152,True,H,51,1,0,36,34,1,1,0,35,False,2,2,22,0.003737790000059249,True,35,True,51,36,35,0.00306025400004728,True,51,36,35,0.003255185999933019,True,51,36,35,0.0030922390001251188,True,51,35,35,0.003652009999996153,True,642,41,33,1.5670202090000203,True,87,39,35,0.029887991000123293,True,98,35,35,0.014612054999815882,True,83,39,35,0.03767510800003038,True,498,82,75,0.6165907189999871,True,428,41,33,0.38824650300011854,True,84,40,35,0.03660211600004004,True,94,35,35,0.007502119999799106,,,,,,,,,,
ms596,596,7,97,22,YYYYYYYXyyyyyyx,YYxyXYx,16168,337,,,False,10000,,,True,9079,380,,131,130,131,0,130,128,2,2,0,130,rewrite,67,0.010998957999845516,True,C,150,0,,130,128,2,0,0,130,False,2,2,65,0.007224362999977529,True,130,True,150,130,130,0.0060007480001331714,True,150,130,130,0.006198000000040338,True,150,130,130,0.005582430000004024,True,150,130,130,0.00699450899992371,True,150,130,130,0.008151800999939951,True,150,130,130,0.005818829999952868,True,150,130,130,0.009397124000088297,True,150,130,130,0.009287686999869038,True,150,130,130,0.0077750619998369075,True,150,130,130,0.0071095340001647855,True,150,133,130,0.011486844000046403,True,150,130,130,0.005509163999931843,,,,,,,,,,
ms605,605,8,97,23,YYYYYYYXyyyyyyx,YYYXyxYX,60593,307,,,False,10000,,,True,5447,340,,132,131,132,0,131,128,3,3,0,131,rewrite,67,0.011745194000013726,True,C,155,0,,131,128,3,0,0,131,False,2,2,65,0.007378147000054014,True,131,True,155,131,131,0.0061592360000304325,True,155,131,131,0.006488315999831684,True,155,131,131,0.005673557999898549,True,155,131,131,0.007257436999907441,True,155,131,131,0.006438759000047867,True,155,131,131,0.006268002000069828,True,155,131,131,0.008356967999816334,True,155,131,131,0.007629745000031107,True,155,131,131,0.00800649899997552,True,155,131,131,0.007344981999949596,True,167,134,131,0.023283036000066204,True,155,131,131,0.005565268000054857,,,,,,,,,,
ms610,610,8,97,23,YYYYYYYXyyyyyyx,YYYxYXyx,61366,309,,,False,10000,,,True,5436,338,,133,132,133,0,132,128,4,3,1,131,rewrite,67,0.011107350999964183,True,C,155,0,,131,128,3,0,0,131,False,2,2,65,0.0071061480000480515,True,131,True,155,131,131,0.006753766999963773,True,155,131,131,0.00642665999998826,True,155,131,131,0.0058744640000440995,True,155,131,131,0.007284251000100994,True,155,131,131,0.006570273000079396,True,155,131,131,0.0059484779999365855,True,155,131,131,0.008744845999899553,True,155,131,131,0.006923515000153202,True,155,131,131,0.008613471999979083,True,155,131,131,0.00725351000005503,True,167,134,131,0.021466756000108944,True,155,131,131,0.005613028999960079,,,,,,,,,,
ms625,625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,78770,665,,,False,10000,,,False,10000,,,260,259,260,0,259,256,3,2,1,258,rewrite,131,0.03472631399995407,True,C,278,0,,258,256,2,0,0,258,False,2,2,129,0.020210937999991074,True,258,True,278,258,258,0.018274147000056473,True,278,258,258,0.017780270999992354,True,278,258,258,0.01589592499999526,True,278,258,258,0.01971300400009568,True,278,258,258,0.018181767999976728,True,278,258,258,0.016344927000091047,True,278,258,258,0.024497418999999354,True,278,258,258,0.019587124000054246,True,278,258,258,0.022066179999910673,True,278,258,258,0.021620653999889328,True,278,261,258,0.023032415999978184,True,278,258,258,0.015459506999832229,,,,,,,,,,
ms622,622,8,106,24,YYYYYYYYXyyyyyyyx,YYxyXYx,78774,671,,,False,10000,,,False,10000,,,259,258,259,0,258,256,2,2,0,258,rewrite,131,0.035801468000045134,True,C,278,0,,258,256,2,0,0,258,False,2,2,129,0.019819372999791085,True,258,True,278,258,258,0.018012030999898343,True,278,258,258,0.017991114999858837,True,278,258,258,0.01560481400019853,True,278,258,258,0.019631339000170556,True,278,258,258,0.01785743300001741,True,278,258,258,0.016122032000112085,True,278,258,258,0.023220826999931887,True,278,258,258,0.015819259999943824,True,278,258,258,0.020694704999868918,True,278,258,258,0.020169349000070724,True,278,261,258,0.024914460999980292,True,278,258,258,0.015637512000012066,,,,,,,,,,
ms624,624,8,106,24,YYYYYYYYXyyyyyyyx,YYxYXyx,59971,706,,,False,10000,,,False,10000,,,260,259,260,0,259,256,3,2,1,258,rewrite,131,0.03309675800005607,True,C,278,0,,258,256,2,0,0,258,False,2,2,129,0.019695020999961343,True,258,True,278,258,258,0.018474276000006284,True,278,258,258,0.0177444230000674,True,278,258,258,0.015484739999919839,True,278,258,258,0.01999447599996529,True,278,258,258,0.017825998000034815,True,278,258,258,0.016355723000060607,True,278,258,258,0.023773366000114038,True,278,258,258,0.015569842000104472,True,278,258,258,0.02153079599997909,True,278,258,258,0.020152216000042245,True,278,261,258,0.023359809999874415,True,278,258,258,0.015507533000118201,,,,,,,,,,
ms623,623,8,106,24,YYYYYYYYXyyyyyyyx,YYXyxYX,59710,708,,,False,10000,,,False,10000,,,259,258,259,0,258,256,2,2,0,258,rewrite,131,0.03430744499996763,True,C,278,0,,258,256,2,0,0,258,False,2,2,129,0.0196284870000909,True,258,True,278,258,258,0.020249941999963994,True,278,258,258,0.01743839499999922,True,278,258,258,0.01590874199996506,True,278,258,258,0.02005740499998865,True,278,258,258,0.017519193999987692,True,278,258,258,0.01689468599988686,True,278,258,258,0.024140417000126035,True,278,258,258,0.050922917999969286,True,278,258,258,0.020548148999978366,True,278,258,258,0.019613827999819478,True,278,261,258,0.02187482399995133,True,278,258,258,0.015577378999978464,,,,,,,,,,
ms634,634,9,108,23,YYYYYYYXyyyyyyx,YYYXyyxx,574348,80,,,False,10000,,,True,3165,66,,158,34,158,156,34,27,7,7,0,34,s40_gen,15,0.08111527599999135,True,H,57,32,0,37,25,5,7,0,30,False,3,2,15,0.01804752699990786,True,30,True,57,37,30,0.014052076000098168,True,57,37,30,0.015285911999853852,False,1000,,,1.8839855490000446,True,60,29,29,0.018641415999809396,True,57,40,28,0.010626390999959767,True,59,38,30,0.017685821999975815,True,63,30,30,0.008090046000006623,False,1000,,,0.8395797460000267,True,86,43,32,0.054245326000000205,True,57,40,28,0.023552761000019018,True,55,38,30,0.01921621400015283,False,1000,,,0.2517350850000639,,,,,,,,,,
ms635,635,9,108,23,YYYYYYYXyyyyyyx,YYYXXyyx,574959,80,,,False,10000,,,True,3169,66,,161,34,161,159,34,26,8,8,0,34,s40_gen,15,0.12500733799993213,True,H,57,32,0,37,25,5,7,0,30,False,3,2,15,0.016951400999914767,True,30,True,57,37,30,0.013531700999919849,True,57,37,30,0.015057240000032834,False,1000,,,1.7567447909998464,True,60,29,29,0.017235498999980337,True,57,40,28,0.010410816999865347,True,59,38,30,0.016677840000056676,True,63,30,30,0.007916545000171027,False,1000,,,0.8795991560000402,True,86,43,32,0.05657092899991767,True,57,40,28,0.023085723999884067,True,55,38,30,0.019798870999920837,False,1000,,,0.22630680499992195,,,,,,,,,,
ms637,637,9,106,25,YYYYYYYYXyyyyyyyx,YYYXyxYX,271866,667,,,False,10000,,,False,10000,,,260,259,260,0,259,256,3,3,0,259,rewrite,131,0.03918754100004662,True,C,283,0,,259,256,3,0,0,259,False,2,2,129,0.020015249999914886,True,259,True,283,259,259,0.02020779000008588,True,283,259,259,0.018113186000164205,True,283,259,259,0.01688202800005456,True,283,259,259,0.019604840000056356,True,283,259,259,0.017509857000050033,True,283,259,259,0.016494758000135334,True,283,259,259,0.024615931999960594,True,283,259,259,0.019870723999929396,True,283,259,259,0.020577186000082293,True,283,259,259,0.020449718000008943,True,302,262,259,0.040097808999917106,True,283,259,259,0.015797641000062868,,,,,,,,,,
ms639,639,9,106,25,YYYYYYYYXyyyyyyyx,YYYxYXyx,272953,669,,,False,10000,,,False,10000,,,261,260,261,0,260,256,4,3,1,259,rewrite,131,0.04006360600010339,True,C,283,0,,259,256,3,0,0,259,False,2,2,129,0.020060478000004878,True,259,True,283,259,259,0.021283709000044837,True,283,259,259,0.018065768999804277,True,283,259,259,0.01533093399984864,True,283,259,259,0.020184736999908637,True,283,259,259,0.021701646000110486,True,283,259,259,0.016567816999895513,True,283,259,259,0.02182245399990279,True,283,259,259,0.019253791999972236,True,283,259,259,0.0201958980001109,True,283,259,259,0.020262509000076534,True,302,262,259,0.03995696799984216,True,283,259,259,0.01558378000004268,,,,,,,,,,
ms638,638,9,106,25,YYYYYYYYXyyyyyyyx,YYYxyXYx,213878,672,,,False,10000,,,False,10000,,,260,259,260,0,259,256,3,3,0,259,rewrite,131,0.03992197799993846,True,C,283,0,,259,256,3,0,0,259,False,2,2,129,0.020074398000133442,True,259,True,283,259,259,0.01915891999988162,True,283,259,259,0.02120891100003064,True,283,259,259,0.015368800000032934,True,283,259,259,0.019818794000002526,True,283,259,259,0.019756511999958093,True,283,259,259,0.01672087399992961,True,283,259,259,0.0205237949999173,True,283,259,259,0.019738676000088162,True,283,259,259,0.022302456000034,True,283,259,259,0.020283220999999685,True,347,264,261,0.07635221000009551,True,283,259,259,0.01568304200009152,,,,,,,,,,
ms636,636,9,106,25,YYYYYYYYXyyyyyyyx,YYYXYxyX,213882,678,,,False,10000,,,False,10000,,,261,260,261,0,260,256,4,3,1,259,rewrite,131,0.04052589499997339,True,C,283,0,,259,256,3,0,0,259,False,2,2,129,0.02075393699988126,True,259,True,283,259,259,0.020171148999907018,True,283,259,259,0.018897721000030288,True,283,259,259,0.01559072500003822,True,283,259,259,0.019579798999984632,True,283,259,259,0.019875714000136213,True,283,259,259,0.0166401510000469,True,283,259,259,0.020592150000084075,True,283,259,259,0.01963700700002846,True,283,259,259,0.020203240000000733,True,283,259,259,0.02136127900007523,True,347,264,261,0.07220359899997675,True,283,259,259,0.015495012999963365,,,,,,,,,,
